Data curenta,Denumire Produs,Pret LEI,Site,Sursa,Chipset,Ventilatoare
18/10/2021,  ASUS GeForce GTX 1050 Ti OC 4GB GDDR5 128bit (CERBERUS-GTX1050TI-O4G)  ,1349,baset.ro,https://www.compari.ro/Jump.php?ProductAttributeId=828371526&ProductType=p&dat=JxVvPOxq8cclx8xsNPVPo3nqKkSlc2ZCnt8b0XWIS9jbmu8pukC0ooG9NdLz1OW5UwtHsbeCK%2FI6q40T1ziuojchLVFQzUa%2B%2BtnpMFYnycmGiMS3Pzf2L615iHThdXDDgpkQ7h9a8%2B2XG3PUi7AdycOruZ%2F1xlp0LXD2XOigUqhxS4LQpmY7dt6eJzHJUUAW4291BfaNMWNt0O96Oy1TY5avlWsHpA5OpYwWmzIiWHdC6LnAQj9OWsCtMAzh0NSeyAHzoAK%2F4CZNkYZGRNdtnKwPb5G41PWIDkiFn91gZBNyuZ3TzpEVyW3voF8Ac9VX0Hm1oGK%2Fwf3q1Eb7vJ6gq2wwhbF0g%2FlFo07SYzGVfJv5JLeBZGnPmyijOb4qtk29WJzi9mU4wim%2Byy6aKSH6bcQ0oxVX9rAPF%2Fv%2FNlv4ajYrBNJjpjPxU9QobHMf5JMy&pp=5d2a9a4b04751f0ab37ae58b8b411d22&sc=5&ptp=2&ct=highlighted&cp=OfferOverlay&op=2&pt=product,GTX1050Ti,2
18/10/2021,  SAPPHIRE Radeon Pulse RX 6600 XT 8GB GDDR6 (11309-03-20G)  ,3799,kattara.ro,https://www.compari.ro/Jump.php?ProductAttributeId=855942990&ProductType=p&dat=odMZdp3yXg0zoNR75neMJRv9yKKKpDajaan%2BmUrYor6DzTyB1wPmjXDWnVCnnrUANotbtIVdkCAXtr8TPew0KPlVwRGOfWgmWGhvhwXep9BPC20XaMXspuzu6zMQOxFvoFSfmNezgfd3zlyS5mG1iTtAUBVLy8uOSV5yoyfrsYI%2BSRKeT4DuiKHDOQPd%2BY01fZR5ATlb2%2FaYJaL8rJHd6taQKwG%2FKOIu6T6shxbosdMZ1ICQI04pnmvgmnuvKXF5uvgg1a9DhKa4iQJvX2klcosZtsU%2BmhJm0yqjc7Uxg%2BXsd%2FxudBf8hoVvVtgwTxPxvx1aznyJfcWuU736VFv883P45bmrCxCwHM0fAI6dkLebeO%2BKayo5LCaMhJPqn%2B7ovgU8qVPQm1mlJygZ3Pwf6XIwG3ngBhlPtqGC5i7MG9%2FQUgIRdGcWUMH%2FfMQYUtvl&pp=d887d942955e5a5b16b80dfea3aabec4&sc=1&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RX6600XT,2
18/10/2021,  EVGA GeForce RTX 2060 SC GAMING 6GB OC GDDR6 192bit (06G-P4-2062-KR)  ,3799.99,evomag.ro,https://www.compari.ro/Jump.php?ProductAttributeId=628330212&ProductType=p&dat=HjqTizK72AVWO0Y4r9nZplxLuUPqEz2kg%2Bkyrz1v2tVlsFi2hkTHX5fsuSvOBI8AVKZsq0wWQmpheiLRPuq1RclaKG6t2BFJSGAVCvAPe9v646L7rg%2FskN7ORBUKM4wvWEjHvxar4Hc9ofdFVB0RwjeytxXE3NoZat%2Ft0csSO1bcF09KsTP5nOpTymLDeVYBGfkMqqHYiEeaw%2FyaWWF8xi2dLuiegkvZ66ypXJHxiDsJRErAGRHvA26lQVWEI8kHzMiUJbAY4Nb5s3Pago%2FG1w4fQDrq9nDwn%2F6ATgyLAaLsx0YtZA1Av2LTuT8f%2Btpeb%2BRtJatpeEyrt2ZLHkaPBTQ5vT12Gde1ePi5CiogDGpbSrKSF5%2FmiEScGiIWid5wd0yxJEK0ezI2HLtrzZLKDeZmXaBGtWz0FYBGDYWWisdYIOct4JQ5Hd8bsxbV9wOY&pp=14b62e0bf53c9b42edf2a8186c6d39c9&sc=1&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RTX2060,1
18/10/2021,  GIGABYTE GeForce RTX 3060 Ti GAMING OC 8GB GDDR6 256bit LHR (GV-N306TGAMING OC-8GD 2.0)  ,4499.99,forit.ro,https://www.compari.ro/Jump.php?ProductAttributeId=863603889&ProductType=p&dat=NU6MEJfr54avRgj3B70gTIF7g51GnaA6fJg0r0a1BKogKih4fJNSaWHx7NkvsLV0WXF2kRFd5C3CEhHJCzJ2%2BaifikhpFeS%2Br32rwklxtPhdMdpZCweusgvX4OiSMMvR0yieVGmy7o0QSDaWAvf1HKWtU3BktCgfmpdY46%2BDpfBk2ZwRQspOyblWw0mJ%2BHPqY3oB4rlGl37mrf16pi036kCHA%2BKXEEuZ0RP%2Bc7jsHuluhJIChGNoa%2FnLutTJrbfaffbz6Dsl5kUOy4IO0UclEEcwp8K%2FrZKEpq68WH6NXThhm86RfmRvYGCRjGISRSkRikiAYOUd92rEfS7lLe6I%2F1jORckoJp85e0ciRaLRteQ5pAhw9vle7jpTaIbPc7G0XEwp7LM4btwC5Ow8dGWsGUvmbtHd2S1De03XQYxaoJsFN6bKMZIjvwTcpwkqAM7W&pp=3823e7ec062a570cf7ab0a2ed4a3a202&sc=6&ptp=2&ct=highlighted&cp=OfferOverlay&op=3&pt=product,RTX3060Ti,3
18/10/2021,  GIGABYTE GeForce GTX 1050 Ti OC 4GB GDDR5 128bit (GV-N105TOC-4GD)  ,1442.92,prostore.ro,https://www.compari.ro/Jump.php?ProductAttributeId=427730107&ProductType=p&dat=2V5nS9OOKkog2ADrLRUh0JtvJ5vQJMSsANGjqwLG9KVoHYuUZdHNl6w%2F8iPyWpykqs%2F3M%2BrwR2Vuhg74g7%2B3gGsPlqVlwJi%2F48PsIOJJHVDVJmPv3OkCYdcJlsk0RQDBs%2FhpbpXT1vRS%2Bus25CPy3zsAn2ZnKOO4B95J%2FKeMyZRUPqlkpC5UyZEpvoyrbhuhAtg1NDrLsWC6dCwBrzARN9lu0NTZC9u0VHyMzzzZZJrQFiCe2CV2Gu3WwEXDpFqAFSBnZ5%2BqgeRVLzYtNeJl4bQMAPP5E3ZjnyydkXNRemLcRgeEdscHqKsUTTaiDVrBg9MYX2d5SU1selifXBW%2B8umLLz0nezSoqglR%2BfKhZ28PwlHrLoRkRpm%2Bd7c51cmyX0kcko09kXJoz5GUce4Dqn18lK0%2FcD4ZD9CAohT00CdT%2FBiJJb%2FxGDJjtLalycNG&pp=ed344765a8f9e63e172f1572f92c22e1&sc=3&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,GTX1050Ti,2
18/10/2021,  GIGABYTE GeForce RTX 3060 GAMING OC 12GB GDDR6 192bit (GV-N3060GAMING OC-12GD)  ,7033.99,pcone.ro,https://www.compari.ro/Jump.php?ProductAttributeId=831107811&ProductType=p&dat=vpL1fiLpj6FaYMxBCUAdf7I8EubPoPrcy6o9PFz9RdnWpMoDpeuudF4x9%2Boed5EOOsE4%2B2X65xSQmbY5D4VfFLoMQ9IBxOlVB21BCHfxec7P7id3RN95VvLhodByi5imgqtv1RfySCQ5iYP1qt6jHlaberrC%2BLbXEkXuQXkG4XZcaTN3WfNrzaGHYXQ6QHcuew4qP5KKstN0UBZ9c6SsvKC4aLpyXpq31Woe3ihi0FUK3lHZJRNp1JC%2B9xoa0Bq05NeQJtOKVr%2BgEqXmV5Jlm51gT8SyeFzuOPd6iVnvGkrWjOlQZhDjySRNLNjZ9O4qjWKoO0oS%2Fcq4ZwDpxpST2Az8Vult40HiQj0SwxXLye2LhKxq2sSVfSfbs1cJt1UddKVMb6LU4iDheYKCDEMoSU9P4rHsbgky43Awk9hLotkFSZF2xrWXfyoaM1OAU91j&pp=2ee8aa4fedd0b74f0e263e80744f4f5f&sc=2&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RTX3060,3
18/10/2021,  GIGABYTE GeForce EAGLE RTX 3060 Ti 8GB GDDR6 256bit LHR (GV-N306TEAGLE-8GD 2.0)  ,3999.99,forit.ro,https://www.compari.ro/Jump.php?ProductAttributeId=867101859&ProductType=p&dat=EVzwBUtLlOo6dvOrxJ5ryrwlkKmYk2bSsf7jrNgWUR%2F2p11raegOJnAbx4BXajyHROnft52aLXsk9c6cRsmXrwpyIjj9lXqeiG20NTjIAx6iBvoOmlWugAByGUAt6tQxq%2BCi9sr2Hqi6OiD3vjolD6qNrz13SJQBf67VhvWrcrHYRO0C1EXPj%2BZ0EZuIbS3FXK0svVmnOFeAgYUgCN%2FiIzGe1YNuQmkpsvmKeEyXwRJEP98v5jIBtpmDdjddXvoQND6r7pf8yjzMRXov4D0twF6KzZ1YySw1YOFoqwXP1vXOP5ftShqG5fi5efjQ8%2FkJh4u%2B9BCeQ5fJlPuLrJDZ4pdBteCLhf097miG5NWWS%2BKyoqSviVwviR9Le7BOvJDMRcK%2B4RnswDssDb5qJvwDHZQ4od0gacp0sgFv7peiRWorrFYtYu7fA9L5Ofb8v6K7&pp=f4eb9f2164827e714be77a1f88659cf4&sc=3&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RTX3060Ti,2
18/10/2021,  MSI GeForce RTX 3080 Ti 12GB GDDR6X 384bit (RTX 3080 Ti SUPRIM X 12G)  ,10599,proline.ro,https://www.compari.ro/Jump.php?ProductAttributeId=825453759&ProductType=p&dat=DvWTwUsUWwADB2HG5PuoUeEbct0cvqIJ9f7veRqdFrTCPSyUwaQPEtjnZ0oZKi9sNmccgwn%2FVaqLcNiS%2BbQSAYf4VESbn2IGGk797Ajn%2FvWIouW1M0LNhpHnBPMo9wZtA7bdG7gfgoC2cQiXYMrXfEJb0Natun4FMcO7lPR2Y%2BjtkUXLNpowgehl8l%2FCGgj9gqS1E8xywkmEAB6huI0fAo9%2FAquO0bcI%2FsNwenX7E01dCXrOvOZWj2WfD0GidACNt660lhIsAvzDVXfs9osqIiAqCDj5f5ZHfBiY55xq%2F8hK169AEI6uR5Ip6IjoU%2BQYcAZNsl7iranSRbeAbMu47sj6YEA8F%2BDCg2jHS5boFlkm%2FcZqj2%2BB80Ocr0%2BPB3CfBr00g6OLoPhgAlGB4JyjfWO7qUA2p9THf4bADDWIK%2BwQLsb21%2BQ4e%2FnNZ3h9%2Bk%2FL&pp=d55655ba17536c7e32feabe165304695&sc=4&ptp=1&ct=normal&cp=OfferOverlay&op=4&pt=product,RTX3080Ti,3
18/10/2021,  GIGABYTE Radeon RX 6600 XT 8GB OC GDDR6 128bit (GV-R66XTGAMINGOC PRO-8GD)  ,3999,cel.ro,https://www.compari.ro/Jump.php?ProductAttributeId=848645982&ProductType=p&dat=e5oTcseyy7yh05jlYGBixWHmRCi2ksnGUBHfQuN6IYhgIZewHseaD3JR6DaarO2heeOyfX1A0EonOUb5SDllrfufBTWAkNnZQwJpIzAn2PvU5wW91g6e%2FoqMUj4jJ7fs9%2B8giGWJ4iqOxfkUM%2BxAH9AiShxhFwMtSTR7qYFjZjPR%2BFwqz5SiB8W2p9zV%2B8xyrWMfG2BMHdAOeLFOTDfF2Dl%2B6DmEAzsS7XsAVkMUgU4Tru8kfi2Ps%2FRvpq5Xeiml2HFWSpN20eWEfoyhwoMbVLPaU3aK5kdFKdacm7GVdhztYTfYIOr6SkSMrg5uZJABTU8gIoz44edzR5yGyGZbTALwB0eInkfCRckB26YpXywDmm2pvyJInEqe35piyJSZZwg%2BLg8yXNu3%2FmuLtLi%2Fb0CThlF9obZVQL8ywfgm8XQlYKk1O9bO2kgf9%2BDcsez0&pp=d465d459520f3946e462251e3ee2f953&sc=2&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RX6600XT,3
18/10/2021,  ASUS GeForce RTX 3080 Ti OC 12GB GDDR6X 384bit (ROG-STRIX-RTX3080TI-O12G-GAMING)  ,11080,leumart.ro,https://www.compari.ro/Jump.php?ProductAttributeId=835570029&ProductType=p&dat=Tc2YOmsPTID4wbm2Ij1YgldcqFnOVa6qhXNB1fBgt3He0Do9Xkk0tAdSFK5ZOb86H6LlqmodkBBqHSkL0wJiKdzGup9D34fNAIkD2ywAkxKfES83BS310K4iKQjdWF6uoHzmD6T0Ey%2FIgFcloJ7yUuzfZr0dxhFyFJScL9lCvm2Ipn5zBDrT%2BbRW5j8UJV1rU3D2%2F29ssVf3PFf8q8QRx2WCO2zACylsYbAl3vVwG%2FBHkJSbDCaDayRHEDqZZh9kPXb1qnk5Sg70TFd92VHX1YvWWv7k81jUsnlNalI5irq6aKnrkBEw4J13M5X4ozPfly%2BedHED7cbbP%2FlgbiBqWbFXiZ0kpS3L0%2FHoh9Y2%2FRv3ZeyKGhRBmqM13p8FA68YZMRJ7J3GV8LT4UZzFGOQXQbUih6T0gyMnILWktlatDukhb2t1IkdXTBRqjtOOZI0&pp=f5b3ff4ed229cc74a905068050ba2997&sc=5&ptp=2&ct=highlighted&cp=OfferOverlay&op=3&pt=product,RTX3080Ti,3
18/10/2021,  GIGABYTE GeForce RTX 3060 Ti 8GB OC GDDR6 256bit LHR (GV-N306TGAMINGOC PRO-8GD 3.0)  ,4684.5,leumart.ro,https://www.compari.ro/Jump.php?ProductAttributeId=858078189&ProductType=p&dat=Sc%2Bi2N%2FPHk9lBrmXWE%2Fngnoehcyi9liq7hJTa8NAVeEqhOBYo7am4rSINnV21opPhsoWvN%2BND33I7GM%2FUfAUP7ZmDMQH0hD3T6M78mNINwqzLSMXTaLYYWh2L3VmsiZMded7sc1gsYLHaFQa5nGRTUffw5HHxE8CAA1qk5tzm2tFtkg5zzMsGR6QkA085n38M7zdx7j6cB9FAZFKTBd3JhrluFwUzvEMIHqWo8it0SeXzLFph5nVHzjtzvNpE3Ps7BsBAImfMIOtBchNb3bdFZa%2FSnFzQoxMPXFf6q4qkbgMpycwOCcCfWQeNFfJQN9%2FSQZJvV1KAf9rFki2Q%2F0%2BTOz8NzkYQEbJ9VpAdWvHzYSCb8AL4mgHkxxsJELz8rLw9xzpuUxc%2F3eGJC%2BEFnTNVYkrTgtJKGEjuMsEF%2BSsmoYrQqpOQ0LwBzVqj84z%2BYv4&pp=44bd660e0654cdf61e1e5a70d0b13581&sc=6&ptp=2&ct=highlighted&cp=OfferOverlay&op=3&pt=product,RTX3060Ti,3
